title,image_url,price,description,tags,gold_weight,stone_weight,stone_type,category,sub_category,metal,finish,dimensions,purity
Rose Gold Flamboyant Diamond Cuff Bracelet,http://www.giva.co/cdn/shop/files/GDLBR020.40422.jpg?v=1742279573,65067,Grace your wrist with a touch of understated elegance. Perfect for those days when simplicity needs to speak volumes. This rose gold bracelet features an ...,"rose gold, diamond",,,Lab grown diamonds,Bracelets,Cuff Bracelet,Rose Gold,,Diameter: 5.74 cm,18K
Gold Celeste Diamond Cuff Bracelet,http://www.giva.co/cdn/shop/files/GDLBR036_1_21a104e4-93b9-466c-bd68-b23846cc5a54.jpg?v=1758090788,63145,"Adorned with diamonds, inspired by the perfect harmony of strength and brilliance—just like you. This gold bracelet follows an open bangle design. The en...","gold, diamond",,,Lab grown diamonds,Bracelets,Cuff Bracelet,Gold,,Diameter: 5.6 cm,14K
Gold Gorgeous Cluster Diamond Bracelet,http://www.giva.co/cdn/shop/files/GDLBR077_0.jpg?v=1729834948,29978,"Got stars in your eyes? Wear them on your wrist instead! Adorned with celestial motifs, it’s the perfect way to carry a piece of the cosmos wherever you...","gold, diamond",,,Lab grown diamonds,Bracelets,,Gold,,Length of Chain: 17.5 cm + 1 cm Adjustable,14K
Gold Butterfly Diamond Bracelet,http://www.giva.co/cdn/shop/files/GDLBR023_1.jpg?v=1728571533,36469,"This bracelet is inspired by a butterfly emerging from its cocoon, may we find joy in our journey of growth and self-discovery. This bracelet features a...","gold, diamond",,,Lab grown diamonds,Bracelets,,Gold,,"Motif Height: 0.98 cm, Width: 0.63 cm, The length of the bracelet is 18 cm with a 1.5 cm adjustable portion",14K
Gold Infinite Shine Diamond Bracelet,http://www.giva.co/cdn/shop/files/GDLBR024_1_63c97e78-6752-4914-a906-b8e658333e96.jpg?v=1756548280,19712,"Rings get all the attention, but gold bracelets are the secret showstoppers. This pure gold bracelet features an infinity motif, partially studded with ...","gold, diamond",,,Lab grown diamonds,Bracelets,,Gold,,"Motif Size: Height - 0.76 cm, Width - 2.04 cm, Length of Chain: 19 cm + 1 cm Adjustable",14K
Gold Sparkle In Infinity Diamond Bracelet,http://www.giva.co/cdn/shop/files/GDLBR076_1_a072c8ce-f10b-4023-bdf9-06492287fd7d.jpg?v=1743662685,27466,"A bracelet that says, “I came to shine and have a good time!"" This gold bracelet showcases an infinity design, with one-half adorned in sparkling lab di...","gold, diamond",,,Lab grown diamonds,Bracelets,,Gold,,"Motif Height: 0.62 cm, Width: 2.21 cm, Length of Chain: 17 cm + 1 cm Adjustable",18K
Gold Serene Love Lab Grown Diamond Bracelet,http://www.giva.co/cdn/shop/files/GDLBR021_1.jpg?v=1742480900,25635,Inspired by the depths of a loving heart that knows no bounds. This tennis bracelet makes the perfect anniversary present! This pure gold bracelet for w...,"gold, diamond",,,Lab grown diamonds,Bracelets,,Gold,,"Motif Height: 0.15 cm, Width: 4.5 cm, Length of Chain: 18 cm + 1 cm Adjustable",14K
Gold Solbloom Lab Grown Diamond Bangle Bracelet,http://www.giva.co/cdn/shop/files/GDLBR081_1.jpg?v=1755171109,35320,Like blossoms after winter; wear it to celebrate your quiet growth. Try the exquisite lab grown diamond jewellery from Heer By GIVA today. This gold ban...,"gold, diamond",,,SGL/IGL Certified Lab grown diamonds,Bracelets,Bangle,Gold,,Diameter: 6.1 cm,14K
Gold Ember Diamond Bracelet,http://www.giva.co/cdn/shop/files/GDLBR073_1.jpg?v=1729834912,22940,"Bring on the bling with a piece that says, “I’m too cool for ordinary!”—turn up the style! This pure gold bracelet features a teardrop-shaped motif set...","gold, diamond",,,Lab grown diamonds,Bracelets,,Gold,,"Diameter: 0.76 cm x 1.75 cm, Length of Chain: 17.5 cm + 1.2 cm Adjustable",18K
Gold Endless Circle Diamond Bracelet,http://www.giva.co/cdn/shop/files/GDLBR054_1_c434140f-6607-4320-beb9-2b8b5ad23955.jpg?v=1732803544,20176,"Nothing says “I’ve arrived” like a gold bracelet casually chilling on your wrist. This pure gold bracelet features a circle motif, adorned with lab-grow...","gold, diamond",,,Lab grown diamonds,Bracelets,,Gold,,"Charm: 0.4 cm x 0.95 cm, Length of Chain: 19 cm + 1 cm Adjustable",14K
